steps,voltage_mV,pressure,temperature_C,humidity_percent,hour,minute
4853,56.53,30,7.1,64.43,15,4
4852,85.47,26,29.94,66.64,15,4
4852,47.91,15,29.13,63.1,15,4
4856,3.18,5,6.22,16.43,15,4
4855,37.5,20,32.01,15.36,15,4
4858,0.84,1,32.51,58.51,15,4
4859,3.98,4,24.0,64.51,15,4
4858,69.46,26,34.76,42.48,15,5
4859,42.79,20,6.27,65.21,15,5
4859,56.54,16,28.48,67.41,15,5
4862,0.27,8,22.4,18.86,15,5
4862,92.95,30,27.55,52.14,15,5
4862,114.3,29,32.29,62.27,15,5
4864,1.37,10,31.64,63.87,15,5
4864,1.05,8,23.85,54.79,15,5
4867,77.7,34,54.28,69.2,15,5
4868,0.18,8,24.36,89.33,15,5
4867,0.93,4,28.28,87.54,15,5
4868,40.0,16,25.1,88.66,15,5
4870,73.15,30,7.35,66.19,15,5
4871,87.48,27,27.79,61.2,15,5
4874,47.27,13,28.27,68.95,15,5
4874,57.47,30,6.44,61.63,15,5
4876,128.49,31,26.14,54.41,15,5
4874,95.7,24,34.85,54.34,15,5
4876,82.54,24,30.76,54.56,15,5
4877,86.63,30,21.72,52.18,15,5
4878,67.26,24,28.02,53.37,15,5
4881,102.44,30,20.1,55.64,15,5
4879,97.75,26,27.25,61.77,15,5
4883,35.49,30,5.53,13.59,15,5
4883,103.55,33,32.64,63.18,15,5
4883,67.35,17,29.84,69.72,15,5
4884,70.77,19,21.35,53.9,15,5
4885,117.77,30,24.72,62.47,15,5
4888,84.31,21,32.54,63.1,15,5
4886,4.63,9,26.25,52.27,15,5
4887,1.53,2,7.96,45.35,15,5
4889,3.25,6,20.02,12.02,15,5
4892,2.56,3,22.6,52.02,15,5
4893,84.95,21,29.02,56.15,15,5
4893,1.66,5,25.11,47.53,15,5
4894,101.39,34,26.85,60.7,15,5
4893,90.54,22,24.18,61.07,15,5
4897,69.26,26,31.67,65.59,15,5
4896,79.61,26,22.98,47.14,15,5
4898,4.18,9,22.36,44.55,15,5
4898,75.72,26,32.16,47.04,15,5
4899,1.22,3,9.29,45.65,15,5
4901,4.63,2,31.44,51.12,15,5
4902,51.81,15,28.91,46.5,15,5
4902,55.94,19,34.42,50.21,15,5
4905,46.92,15,27.4,65.32,15,5
4905,33.98,12,20.81,48.7,15,5
4907,78.56,25,22.87,48.23,15,5
4908,53.31,18,27.7,59.61,15,5
4906,73.12,25,32.32,62.22,15,5
4910,32.34,15,6.34,61.08,15,5
4910,4.95,5,54.12,51.99,15,5
4912,59.82,23,22.7,86.19,15,5
4913,110.79,30,34.52,55.9,15,5
4912,0.9,11,21.91,48.58,15,5
4913,82.91,26,26.5,43.98,15,5
4916,40.54,23,26.58,18.08,15,5
4914,0.51,3,30.18,11.56,15,5
4916,1.44,1,24.49,18.87,15,5
4919,1.22,10,33.7,45.87,15,5
4919,38.29,13,21.17,61.2,15,6
4921,83.58,28,26.99,49.43,15,6
4921,120.65,29,24.11,59.41,15,6
4921,45.31,16,33.03,46.67,15,6
4923,126.35,35,24.67,52.98,15,6
4922,71.37,30,30.36,12.87,15,6
4924,48.8,17,25.95,64.64,15,6
4925,42.31,12,27.66,48.94,15,6
4927,71.42,24,33.78,50.72,15,6
4928,94.93,34,20.65,43.0,15,6
4930,42.75,15,24.51,63.6,15,6
4930,0.36,1,23.5,17.13,15,6
4931,100.95,27,22.3,46.37,15,6
4931,3.73,7,20.6,64.77,15,6
4933,95.01,26,27.93,60.18,15,6
4932,23.19,15,57.73,63.13,15,6
4935,1.89,10,22.84,55.14,15,6
4936,53.1,17,26.2,40.26,15,6
4936,131.68,32,34.63,68.3,15,6
4937,2.15,6,22.89,44.36,15,6
4937,33.84,14,58.45560000000002,63.62,15,6
4941,31.54,26,58.45560000000002,12.22,15,6
4940,32.41,16,5.53,43.79,15,6
4943,3.67,1,58.45560000000002,62.08,15,6
4944,28.03,13,50.4,43.86,15,6
4942,94.15,28,20.43,56.84,15,6
4943,90.69,23,34.31,50.31,15,6
4947,60.59,16,32.58,88.8,15,6
4948,34.87,19,47.56,69.36,15,6
4947,59.38,22,25.23,56.44,15,6
4947,60.03,28,20.18,93.85,15,6
4951,79.13,32,26.31,91.45,15,6
4949,3.33,5,29.4,17.12,15,6
4953,1.15,4,34.01,43.06,15,6
4954,72.68,29,32.28,66.03,15,6
4955,54.14,20,32.98,51.45,15,6
4955,43.97,17,23.92,14.5,15,6
4954,53.4,35,45.22,41.54,15,6
4956,102.53,33,23.62,66.79,15,6
4959,3.73,4,20.58,89.32,15,6
4958,90.2,24,33.35,41.56,15,6
4961,41.61,19,30.08,18.36,15,6
4962,63.44,29,5.53,55.81,15,6
4961,1.0,4,23.55,12.07,15,6
4964,0.67,3,30.69,49.33,15,6
4965,57.3,20,20.47,17.73,15,6
4963,4.21,4,23.97,50.55,15,6
4966,3.93,5,23.59,66.92,15,6
4965,81.22,34,25.96,14.37,15,6
4968,63.88,17,23.96,61.11,15,6
4968,115.18,29,34.34,62.06,15,6
4971,61.84,17,27.92,46.49,15,6
4970,51.08,21,54.76,61.19,15,6
4972,29.49,12,47.36,48.94,15,6
4973,79.84,34,6.12,68.82,15,6
4975,130.54,35,22.28,54.77,15,6
4974,115.71,31,27.63,54.11,15,6
4976,4.7,9,32.74,49.43,15,6
4976,79.98,23,32.36,43.14,15,6
4978,1.19,11,26.66,43.24,15,6
4978,64.27,20,24.63,63.85,15,7
4978,108.1,30,29.55,44.44,15,7
4982,15.17,13,7.09,91.95,15,7
4982,2.4,1,21.79,68.13,15,7
4984,96.57,24,31.25,62.9,15,7
4985,74.54,26,24.95,44.15,15,7
4986,50.13,24,28.5,16.01,15,7
4987,4.06,6,27.34,92.24,15,7
4986,113.25,33,24.9,61.69,15,7
4986,38.15,14,28.17,47.25,15,7
4987,94.68,28,31.11,65.47,15,7
4990,4.22,8,25.09,63.28,15,7
4990,39.25,19,32.65,17.85,15,7
4992,68.7,22,31.66,62.9,15,7
4991,0.73,4,24.7,51.98,15,7
4995,35.67,13,24.41,64.9,15,7
4994,4.52,6,29.67,85.06,15,7
4997,3.5,8,34.27,63.56,15,7
4995,112.39,33,27.49,62.53,15,7
4999,117.08,34,30.53,63.73,15,7
5000,114.33,28,31.85,44.49,15,7
4999,125.81,32,23.04,50.78,15,7
4999,0.18,6,26.26,11.51,15,7
5003,3.14,3,34.47,58.56,15,7
5004,54.51,34,51.33,64.44,15,7
5005,66.87,21,29.31,86.59,15,7
5004,65.25,17,32.49,41.89,15,7
5006,62.68,27,48.02,55.2,15,7
5005,95.07,29,29.61,58.24,15,7
5007,3.66,7,28.64,65.28,15,7
5010,53.94,15,24.37,47.66,15,7
5009,87.92,35,8.65,57.53,15,7
5010,2.96,4,30.65,57.73,15,7
5013,131.2,32,27.6,89.69,15,7
5012,2.09,8,8.88,59.62,15,7
5013,60.9,23,21.61,56.41,15,7
5014,72.93,29,26.09,50.03,15,7
5017,47.51,19,23.49,56.2,15,7
5016,2.18,5,51.51,69.86,15,7
5018,3.69,1,20.84,52.87,15,7
5020,76.83,20,31.68,50.75,15,7
5021,96.63,33,26.74,90.39,15,7
5019,97.91,24,31.62,64.58,15,7
5023,3.23,4,48.75,45.65,15,7
5022,28.62,14,29.32,15.04,15,7
5024,63.45,25,28.84,69.9,15,7
5023,77.78,24,21.82,48.13,15,7
5024,76.36,29,20.4,67.01,15,7
5025,3.48,1,8.31,89.03,15,7
5028,120.8,35,24.38,52.86,15,7
5030,0.22,11,32.21,50.27,15,7
5028,4.05,6,9.42,63.79,15,7
5030,2.62,2,33.78,64.26,15,7
5031,35.06,21,5.53,47.77,15,7
5032,2.99,8,23.29,66.4,15,7
5033,74.3,27,23.02,47.26,15,7
5036,62.31,33,32.74,15.21,15,7
5035,3.57,8,27.99,41.96,15,7
5037,72.16,28,30.76,63.33,15,7
5039,4.55,2,20.26,61.4,15,7
5040,0.62,4,32.04,58.14,15,8
5041,56.29,15,25.75,69.71,15,8
5039,4.54,4,24.1,52.11,15,8
5043,68.35,20,20.95,41.98,15,8
5043,80.24,31,27.58,17.36,15,8
5042,79.18,19,32.16,63.99,15,8
5046,37.15,14,32.66,16.48,15,8
5045,96.69,31,28.97,67.46,15,8
5046,131.88,32,31.16,64.01,15,8
5049,103.78,30,27.97,61.83,15,8
5049,87.15,23,28.56,61.11,15,8
5051,86.32,28,24.3,65.3,15,8
5052,95.37,31,23.21,40.32,15,8
5053,1.2,4,25.29,55.26,15,8
5053,2.72,10,30.82,57.45,15,8
5053,1.58,8,21.14,53.66,15,8
5055,87.69,34,25.73,64.75,15,8
5054,48.74,32,8.74,13.87,15,8
5057,30.28,12,26.92,65.64,15,8
5057,86.83,33,23.12,58.07,15,8
5057,49.21,27,6.88,52.5,15,8
5061,93.88,34,23.98,92.65,15,8
5059,73.55,26,29.85,63.3,15,8
5063,61.73,25,6.14,69.78,15,8
5062,101.44,25,27.03,54.96,15,8
5065,4.05,7,26.77,53.48,15,8
5063,92.5,30,34.92,58.61,15,8
5067,57.64,15,32.86,68.66,15,8
5068,2.14,6,26.41,61.85,15,8
5066,67.65,24,26.29,69.16,15,8
5070,52.88,14,23.34,66.83,15,8
5071,48.73,14,29.43,56.84,15,8
5070,108.43,27,21.54,60.12,15,8
5070,37.44,17,46.82,57.06,15,8
5071,55.38,19,27.34,41.99,15,8
5073,41.99,17,47.78,51.1,15,8
5076,36.61,14,22.42,48.64,15,8
5075,49.84,30,8.9,53.4,15,8
5075,42.59,17,22.22,87.84,15,8
5077,49.72,12,29.66,42.43,15,8
5077,106.18,32,20.53,64.44,15,8
5079,84.3,28,32.04,42.62,15,8
5081,103.92,31,21.27,49.85,15,8
5081,33.61,14,6.07,45.7,15,8
5084,0.31,4,21.14,94.03,15,8
5083,45.42,33,8.82,91.34,15,8
5084,24.25,14,7.12,87.66,15,8
5084,60.75,18,28.73,52.95,15,8
5086,80.58,20,32.23,43.27,15,8
5088,57.2,21,23.1,92.94,15,8
5087,92.16,27,30.74,51.32,15,8
5090,69.31,19,30.74,51.88,15,8
5091,94.95,34,32.11,19.48,15,8
5092,3.88,10,47.69,61.71,15,8
5091,96.57,24,23.7,68.93,15,8
5093,24.14,16,8.91,48.3,15,8
5093,2.77,11,21.65,65.71,15,8
5094,21.53,12,32.84,93.35,15,8
5095,59.0,23,31.76,42.83,15,8
5098,99.72,31,33.33,63.18,15,8
5099,127.31,31,32.71,68.62,15,9
5101,1.12,8,5.96,55.26,15,9
5099,50.77,18,27.18,60.07,15,9
5103,80.16,27,23.52,53.13,15,9
5101,98.34,35,33.83,18.49,15,9
5104,69.14,26,26.51,47.51,15,9
5103,60.9,21,28.26,41.48,15,9
5107,39.78,25,56.71,45.65,15,9
5105,62.63,15,31.36,68.89,15,9
5106,1.19,2,23.16,92.38,15,9
5110,2.18,4,30.2,58.04,15,9
5111,54.27,34,7.17,85.78,15,9
5111,69.96,27,26.46,13.44,15,9
5113,52.31,13,32.27,62.53,15,9
5113,83.76,32,34.4,65.09,15,9
5112,40.04,13,34.12,62.91,15,9
5116,2.9,5,28.46,56.94,15,9
5116,33.93,18,45.37,62.53,15,9
5115,4.76,1,26.98,56.69,15,9
5116,1.2,5,28.1,63.72,15,9
5117,3.68,5,26.52,44.2,15,9
5121,52.64,21,32.75,53.72,15,9
5119,91.97,31,28.71,46.73,15,9
5120,79.84,31,22.02,58.9,15,9
5123,116.24,35,25.54,42.2,15,9
5125,95.64,28,30.64,52.65,15,9
5126,91.67,28,21.5,59.6,15,9
5126,68.39,17,31.5,57.67,15,9
5127,4.62,1,22.55,53.53,15,9
5126,49.18,21,49.0,64.66,15,9
5127,73.62,22,34.17,68.02,15,9
5130,3.02,2,31.24,17.83,15,9
5130,46.99,14,28.59,52.52,15,9
5131,2.41,5,29.79,46.4,15,9
5134,82.85,20,21.84,88.95,15,9
5135,68.55,29,7.68,68.32,15,9
5134,78.38,32,49.23,47.46,15,9
5136,44.84,16,24.06,59.83,15,9
5137,2.77,11,21.3,56.31,15,9
5136,41.44,13,34.83,55.18,15,9
5137,94.36,29,32.43,44.89,15,9
5140,48.98,15,28.75,47.79,15,9
5142,39.86,17,52.06,67.43,15,9
5141,3.52,6,7.01,69.5,15,9
5143,112.3,31,32.88,58.12,15,9
5143,4.12,1,31.14,51.88,15,9
5143,54.42,19,33.23,46.72,15,9
5147,81.88,21,35.0,43.18,15,9
5147,4.82,11,20.71,41.44,15,9
5149,58.04,14,31.07,50.06,15,9
5148,59.84,26,6.25,56.53,15,9
5151,4.46,1,34.58,66.53,15,9
5149,37.23,24,8.83,45.88,15,9
5152,114.21,29,32.06,65.81,15,9
5152,2.83,7,28.24,44.63,15,9
5154,1.46,1,34.28,13.89,15,9
5153,92.12,27,31.41,43.35,15,9
5155,48.49,13,21.05,54.1,15,9
5156,53.46,17,24.8,43.62,15,9
5158,81.83,24,28.61,50.48,15,9
5157,85.51,34,21.13,92.82,15,10
5160,0.45,2,32.4,86.29,15,10
5159,84.23,28,31.3,57.01,15,10
5160,69.65,19,30.73,55.64,15,10
5164,3.6,11,26.36,53.73,15,10
5165,2.3,11,31.71,59.32,15,10
5166,4.65,3,23.63,55.39,15,10
5164,2.29,9,53.88,57.39,15,10
5166,14.92,12,53.29,13.48,15,10
5168,0.61,3,26.48,40.66,15,10
5170,4.86,9,27.01,48.71,15,10
5169,2.72,3,24.58,62.5,15,10
5171,48.15,12,26.96,46.37,15,10
5170,86.54,34,26.75,90.15,15,10
5172,4.44,2,27.59,66.01,15,10
5173,102.95,25,27.77,47.65,15,10
5173,0.23,7,32.01,85.32,15,10
5175,116.59,31,20.13,64.83,15,10
5176,120.48,32,20.9,52.99,15,10
5179,2.72,11,21.32,58.81,15,10
5177,55.41,28,8.55,43.58,15,10
5181,1.29,7,31.9,56.57,15,10
5181,55.99,34,9.23,47.06,15,10
5180,2.28,1,8.55,49.88,15,10
5183,82.21,23,33.02,43.18,15,10
5184,66.08,17,21.15,59.65,15,10
5186,49.8,14,22.81,68.34,15,10
5185,3.74,6,21.26,68.42,15,10
5185,2.94,5,20.31,14.32,15,10
5187,71.46,30,51.7,40.32,15,10
5189,3.79,5,53.55,55.29,15,10
5191,64.75,16,31.76,59.89,15,10
5191,55.73,25,7.38,51.27,15,10
5192,48.11,14,29.93,50.71,15,10
5192,61.13,30,21.94,90.21,15,10
5192,97.76,26,21.34,50.53,15,10
5194,33.49,12,26.75,45.49,15,10
5197,49.8,23,55.45,45.11,15,10
5197,110.46,28,24.36,40.33,15,10
5199,57.75,21,32.97,91.74,15,10
5198,3.42,11,47.11,12.12,15,10
5198,0.18,4,24.61,41.22,15,10
5201,59.86,20,30.2,67.16,15,10
5202,60.73,20,23.96,41.39,15,10
5202,49.7,16,32.29,87.14,15,10
5202,4.03,3,24.79,14.97,15,10
5204,4.08,5,58.45560000000002,11.27,15,10
5207,91.79,32,32.45,57.17,15,10
5208,132.77120000000002,35,32.08,61.48,15,10
5209,50.61,26,24.76,91.55,15,10
5209,83.03,35,49.49,55.37,15,10
5209,44.05,20,8.75,47.09,15,10
5212,121.59,34,31.11,60.52,15,10
5211,2.01,8,34.33,63.0,15,10
5211,3.09,1,23.42,49.54,15,10
5215,79.88,22,20.42,48.06,15,10
5215,41.31,18,6.65,54.59,15,10
5216,2.24,10,30.65,44.16,15,10
5215,2.04,10,21.27,51.52,15,10
5218,35.44,20,32.66,15.81,15,10
5220,33.25,12,34.12,50.63,15,11
5220,61.4,23,27.23,60.77,15,11
5222,116.34,32,32.78,49.51,15,11
5221,45.07,28,6.4,47.83,15,11
5221,107.56,28,24.68,51.16,15,11
5225,59.37,20,29.04,41.93,15,11
5223,36.37,12,28.94,61.24,15,11
5224,48.25,15,33.45,59.32,15,11
5227,48.09,20,58.45560000000002,89.33,15,11
5229,18.18,17,53.18,90.78,15,11
5230,3.98,1,31.1,64.18,15,11
5229,0.41,2,53.42,51.04,15,11
5230,1.21,2,22.57,49.54,15,11
5230,3.54,2,21.52,48.72,15,11
5233,54.71,20,21.98,50.0,15,11
5234,47.3,18,26.36,18.58,15,11
5236,108.66,31,25.73,52.38,15,11
5235,47.0,17,31.46,46.12,15,11
5238,3.2,1,28.46,62.41,15,11
5238,3.44,11,21.37,52.26,15,11
5239,2.51,4,5.53,41.96,15,11
5238,104.06,26,21.96,59.26,15,11
5242,54.44,13,22.21,44.49,15,11
5240,78.22,30,29.81,14.91,15,11
5244,26.67,16,5.98,14.46,15,11
5242,77.12,27,33.46,94.03,15,11
5246,0.38,5,30.18,45.77,15,11
5246,54.13,18,20.45,68.72,15,11
5246,104.03,29,23.7,46.89,15,11
5248,2.32,1,49.63,48.89,15,11
5248,1.63,4,22.89,65.71,15,11
5250,105.52,32,21.75,58.53,15,11
5249,124.38,34,30.76,69.27,15,11
5250,81.54,31,27.95,44.64,15,11
5254,84.59,33,34.21,41.14,15,11
5252,31.91,12,24.22,87.7,15,11
5256,71.36,25,27.31,13.21,15,11
5256,83.01,28,21.85,40.93,15,11
5258,36.58,19,34.45,93.95,15,11
5259,1.32,3,5.74,89.05,15,11
5257,4.85,9,34.92,58.56,15,11
5258,3.4,5,30.52,59.29,15,11
5259,38.0,19,46.55,48.67,15,11
5263,0.36,4,27.26,93.97,15,11
5263,103.24,28,32.15,55.25,15,11
5265,28.71,18,47.43,17.0,15,11
5263,52.33,19,22.27,56.38,15,11
5266,53.69,25,20.61,90.34,15,11
5268,51.27,15,27.37,51.44,15,11
5269,36.98,17,9.83,89.98,15,11
5267,82.79,23,21.72,46.55,15,11
5268,32.7,13,20.82,61.67,15,11
5270,42.5,15,26.49,48.49,15,11
5270,104.85,29,28.74,45.98,15,11
5272,1.64,10,28.54,64.16,15,11
5273,4.59,4,9.28,89.8,15,11
5275,39.6,18,52.51,46.37,15,11
5276,105.14,32,34.8,45.09,15,11
5275,43.08,15,27.5,94.03,15,11
5278,111.9,34,30.36,60.61,15,11
5278,3.15,1,21.08,52.1,15,12
5280,77.86,21,30.99,60.67,15,12
5281,97.94,28,32.51,68.21,15,12
5280,89.16,34,26.3,51.83,15,12
5282,36.42,18,54.1,52.74,15,12
5285,2.38,2,31.22,11.14,15,12
5286,55.07,25,56.37,67.21,15,12
5287,38.5,18,6.97,57.93,15,12
5286,80.24,32,47.87,58.45,15,12
5286,3.92,9,27.02,17.96,15,12
5290,124.26,33,30.34,59.22,15,12
5291,50.59,17,32.51,61.52,15,12
5290,32.5,12,29.81,44.05,15,12
5291,2.79,5,25.9,48.53,15,12
5294,112.67,34,21.93,57.88,15,12
5292,71.65,31,50.49,56.59,15,12
5295,61.39,34,8.19,66.97,15,12
5296,46.45,14,33.16,54.67,15,12
5297,75.54,26,30.02,62.88,15,12
5299,45.9,17,21.4,55.54,15,12
5297,33.99,13,30.13,54.66,15,12
5300,100.87,31,32.57,54.74,15,12
5301,72.98,18,22.11,44.49,15,12
5300,2.93,9,31.72,86.95,15,12
5303,2.17,8,23.32,44.62,15,12
5303,40.03,35,53.44,17.41,15,12
5304,3.17,11,24.08,93.68,15,12
5307,4.71,4,30.65,88.22,15,12
5306,56.91,31,7.84,61.23,15,12
5306,46.03,17,25.13,63.71,15,12
5310,84.12,26,31.43,51.91,15,12
5309,85.61,32,22.17,52.61,15,12
5309,79.49,20,26.43,58.09,15,12
5313,56.64,29,24.69,15.31,15,12
5311,88.01,24,21.17,68.76,15,12
5314,30.2,17,5.53,47.08,15,12
5315,4.23,6,6.23,92.26,15,12
5317,81.4,22,21.9,69.53,15,12
5318,65.49,26,31.21,55.84,15,12
5317,64.11,16,21.65,59.13,15,12
5319,86.19,21,33.98,55.0,15,12
5320,1.18,7,23.11,93.77,15,12
5319,76.88,21,22.89,45.67,15,12
5322,33.79,12,23.05,43.1,15,12
5322,1.6,11,31.83,41.46,15,12
5322,44.82,21,23.72,91.79,15,12
5324,4.46,11,5.53,53.0,15,12
5324,46.92,18,34.87,60.07,15,12
5327,58.14,21,26.1,67.62,15,12
5327,67.61,23,28.05,65.35,15,12
5329,43.95,17,29.26,66.99,15,12
5330,105.68,29,27.6,65.44,15,12
5330,53.69,21,25.57,65.31,15,12
5333,99.8,32,29.42,58.62,15,12
5333,1.04,10,34.51,59.08,15,12
5332,55.83,19,21.84,57.12,15,12
5336,38.04,25,48.6,93.59,15,12
5334,64.94,23,29.53,85.45,15,12
5335,92.36,23,22.16,49.38,15,12
5337,83.52,20,31.83,40.53,15,12
5338,1.96,11,29.97,59.35,15,13
5341,3.9,8,54.62,48.07,15,13
5342,4.53,1,58.45560000000002,52.58,15,13
5343,43.77,17,26.51,90.13,15,13
5343,81.51,22,29.48,85.71,15,13
5345,30.21,17,34.26,93.53,15,13
5345,59.8,32,9.89,66.49,15,13
5344,129.35,32,25.08,60.48,15,13
5345,54.72,24,32.46,91.72,15,13
5348,3.78,8,26.63,49.57,15,13
5348,0.56,9,21.2,60.53,15,13
5350,81.2,32,29.93,92.47,15,13
5349,0.84,8,20.81,44.95,15,13
5351,2.25,11,31.46,42.26,15,13
5353,4.58,6,33.63,41.38,15,13
5352,1.22,8,34.3,14.63,15,13
5355,34.7,15,26.41,16.02,15,13
5355,42.44,25,8.64,40.48,15,13
5357,3.02,1,27.94,14.11,15,13
5358,116.84,32,29.03,61.68,15,13
5360,99.96,27,24.99,63.47,15,13
5361,0.59,8,25.56,57.76,15,13
5362,2.88,3,33.29,68.99,15,13
5363,76.59,26,33.0,85.09,15,13
5361,4.48,4,49.33,56.86,15,13
5362,40.45,13,31.49,61.02,15,13
5364,45.34,14,27.18,64.28,15,13
5366,88.14,21,30.55,48.13,15,13
5366,4.4,2,20.98,65.6,15,13
5369,57.42,14,22.33,68.49,15,13
5369,95.33,29,22.99,65.2,15,13
5368,111.93,27,25.39,44.09,15,13
5370,77.88,29,21.93,60.62,15,13
5372,3.63,2,30.94,54.12,15,13
5372,46.0,13,33.95,41.72,15,13
5374,78.74,21,34.57,58.37,15,13
5376,51.87,14,22.87,56.98,15,13
5374,56.81,14,32.94,40.3,15,13
5377,34.75,14,34.95,16.83,15,13
5377,3.82,8,23.21,41.91,15,13
5378,84.47,32,32.13,62.85,15,13
5381,61.48,29,8.92,66.56,15,13
5380,60.43,16,32.43,56.73,15,13
5381,4.35,6,28.17,68.96,15,13
5384,1.64,9,33.43,40.57,15,13
5385,102.34,35,20.93,68.96,15,13
5383,55.81,16,20.41,57.67,15,13
5387,3.71,3,31.67,14.88,15,13
5385,1.87,4,29.92,51.16,15,13
5386,75.59,18,30.62,67.69,15,13
5388,2.93,3,56.15,57.91,15,13
5389,36.39,20,49.82,52.86,15,13
5392,2.82,5,25.63,57.68,15,13
5391,1.97,3,23.11,67.16,15,13
5393,47.81,13,24.93,53.45,15,13
5392,0.68,3,57.91,62.13,15,13
5396,132.77120000000002,33,31.89,55.38,15,13
5394,3.34,1,55.95,16.35,15,13
5398,2.57,2,24.13,44.3,15,13
5397,112.43,29,34.81,58.92,15,13
5398,82.93,22,34.88,43.31,15,14
5400,57.3,19,24.58,64.97,15,14
5399,39.89,21,58.45560000000002,49.2,15,14
5403,50.3,23,32.15,12.29,15,14
5402,48.6,12,33.1,43.69,15,14
5404,64.75,20,22.36,51.34,15,14
5404,51.17,13,25.32,57.96,15,14
5407,78.94,24,34.17,41.29,15,14
5406,1.89,6,33.2,68.61,15,14
5408,67.01,21,22.84,42.05,15,14
5409,49.87,18,26.05,66.9,15,14
5408,55.64,21,31.43,94.03,15,14
5410,108.86,34,30.51,61.39,15,14
5412,55.05,27,54.23,60.48,15,14
5411,42.53,22,20.44,16.62,15,14
5413,4.86,11,8.14,61.38,15,14
5416,95.98,30,26.02,58.5,15,14
5416,95.79,26,27.09,45.6,15,14
5416,95.57,35,34.3,58.17,15,14
5417,58.37,22,29.85,49.87,15,14
5417,46.15,12,26.61,62.87,15,14
5419,100.51,34,32.13,57.49,15,14
5421,3.81,9,9.47,17.57,15,14
5422,42.61,20,56.6,64.73,15,14
5423,51.09,32,8.33,65.6,15,14
5422,106.53,27,32.52,44.89,15,14
5424,67.47,25,23.69,47.2,15,14
5425,111.2,33,31.13,55.63,15,14
5426,0.22,5,34.78,49.92,15,14
5429,5.0,1,34.14,42.43,15,14
5428,64.12,21,24.89,43.57,15,14
5428,24.09,13,8.72,52.12,15,14
5429,105.42,34,20.49,62.22,15,14
5430,111.41,28,20.05,68.71,15,14
5431,52.6,15,26.56,47.6,15,14
5432,50.47,20,29.66,60.87,15,14
5434,1.75,7,23.82,18.1,15,14
5435,58.22,20,26.79,42.94,15,14
5438,127.21,33,29.14,69.61,15,14
5437,4.2,8,8.3,48.63,15,14
5438,3.42,9,29.16,40.98,15,14
5439,54.17,19,31.5,59.3,15,14
5441,60.69,22,22.51,18.22,15,14
5443,44.89,13,23.08,59.18,15,14
5441,66.25,27,21.9,17.06,15,14
5445,43.48,28,8.95,48.35,15,14
5444,90.44,22,27.05,65.11,15,14
5446,49.59,27,28.1,19.8,15,14
5447,88.08,26,26.73,44.94,15,14
5449,67.84,17,23.04,57.43,15,14
5447,48.66,13,32.53,63.44,15,14
5450,0.18,1,8.4,90.36,15,14
5452,96.25,35,25.92,52.24,15,14
5452,71.72,24,34.45,55.82,15,14
5454,63.12,34,57.12,50.96,15,14
5453,106.68,35,20.32,45.69,15,14
5453,44.31,18,32.24,91.21,15,14
5454,0.43,11,20.49,46.52,15,14
5456,45.62,17,31.18,50.21,15,14
5457,96.14,27,29.8,40.38,15,14
5460,85.12,25,26.36,63.29,15,15
5459,100.36,25,23.54,57.16,15,15
5460,102.16,26,25.7,41.42,15,15
5462,48.71,17,30.08,57.82,15,15
5462,64.25,16,21.94,62.47,15,15
5463,65.95,21,31.11,68.91,15,15
5463,61.18,22,31.4,44.0,15,15
5464,56.14,25,20.66,92.63,15,15
5465,126.24,32,31.25,69.5,15,15
5467,55.46,19,23.26,61.25,15,15
5467,2.9,6,29.34,40.62,15,15
5470,56.15,17,33.53,59.1,15,15
5471,62.82,30,21.69,13.24,15,15
5470,62.94,20,34.94,53.21,15,15
5474,70.35,30,56.0,87.4,15,15
5475,73.0,23,34.81,61.88,15,15
5473,70.23,30,32.65,14.74,15,15
5474,67.5,17,22.78,85.18,15,15
5475,31.75,12,28.4,67.81,15,15
5477,69.48,30,20.82,16.88,15,15
5479,1.43,2,30.86,64.95,15,15
5479,36.76,12,31.74,68.87,15,15
5481,85.53,28,20.13,52.42,15,15
5483,72.14,22,24.19,44.32,15,15
5484,2.51,9,31.66,67.61,15,15
5484,38.6,12,27.47,61.86,15,15
5485,58.95,17,28.72,66.99,15,15
5484,73.15,29,33.93,44.35,15,15
5487,83.4,24,23.82,52.73,15,15
5487,125.35,30,33.05,62.31,15,15
5488,1.3,4,30.63,49.99,15,15
5488,39.63,26,54.06,67.35,15,15
5490,115.15,34,24.64,68.7,15,15
5493,97.33,33,30.85,87.34,15,15
5491,3.23,8,21.77,59.22,15,15
5493,0.3,10,20.61,69.55,15,15
5494,2.72,9,34.67,69.64,15,15
5495,3.68,11,34.85,42.14,15,15
5498,98.29,26,33.02,64.01,15,15
5497,78.39,19,22.86,66.44,15,15
5498,57.25,34,58.45560000000002,44.2,15,15
5499,72.29,19,20.78,53.65,15,15
5502,38.51,21,9.93,68.06,15,15
5501,77.06,25,33.28,51.31,15,15
5504,3.78,7,20.61,50.86,15,15
5503,2.82,8,51.48,61.36,15,15
5504,97.61,28,34.26,54.72,15,15
5506,33.98,12,31.6,47.52,15,15
5508,80.5,21,34.93,49.42,15,15
5506,3.57,8,54.52,55.91,15,15
5509,2.99,1,28.21,50.31,15,15
5509,69.26,25,31.87,48.24,15,15
5511,41.53,14,24.47,47.44,15,15
5511,34.35,16,25.0,17.52,15,15
5512,33.63,13,34.85,69.75,15,15
5513,99.46,24,21.29,89.87,15,15
