pressure,temperature_C,humidity_percent,voltage_mV
8,22.68,91.21,1.65
23,34.5,65.77,61.84
13,27.75,19.04,26.05
10,22.26,65.62,3.22
24,33.49,56.95,73.73
26,27.75,61.49,90.86
17,32.98,11.15,48.02
20,50.1,57.96,33.08
30,33.69,50.72,76.36
2,26.58,50.2,3.94
2,21.68,48.5,3.54
1,30.28,69.63,1.1
5,34.8,40.81,3.25
4,20.83,89.11,1.36
19,24.85,66.31,62.98
29,24.61,46.3,84.56
10,26.91,58.3,3.05
3,25.01,12.63,4.4
15,7.45,40.59,26.06
32,34.06,65.68,130.01
18,31.6,54.27,73.07
25,29.18,57.06,101.33
17,49.07,87.48,32.21
22,7.29,50.72,45.19
31,27.97,40.04,122.56
28,20.03,65.58,97.38
31,23.21,52.69,84.91
32,30.32,61.26,84.47
15,27.42,53.02,53.62
13,27.77,46.48,41.48
22,30.36,63.48,57.43
2,28.19,64.56,1.0
31,58.45560000000002,48.52,55.97
25,20.2,59.66,97.71
22,24.74,89.26,68.83
19,32.34,86.9,73.9
1,22.64,12.59,2.08
2,27.48,52.1,3.24
32,32.38,63.13,115.73
33,26.43,16.39,72.72
31,24.58,43.44,107.01
33,22.71,67.98,93.9
9,25.66,94.03,4.13
12,25.08,92.76,28.89
29,33.06,69.67,116.59
22,34.79,12.32,62.65
12,28.15,47.01,30.91
30,47.61,61.05,56.67
21,34.03,44.52,86.48
10,21.65,66.19,4.53
3,24.71,46.32,0.55
30,20.96,89.5,117.29
28,8.88,51.12,70.23
30,34.18,55.92,119.71
33,28.28,63.87,132.77120000000002
8,22.96,67.61,3.96
31,32.25,45.44,123.31
1,28.62,46.19,3.53
35,26.84,59.36,106.49
32,5.75,17.44,48.67
9,26.22,54.68,3.0
21,27.03,51.69,68.14
12,24.74,45.09,37.11
14,6.59,89.75,31.01
15,27.73,41.59,55.32
13,24.09,43.58,52.86
9,27.96,64.74,3.22
33,26.5,41.98,92.16
6,25.21,90.71,0.64
13,20.94,14.94,32.77
19,46.04,89.12,35.98
28,33.7,15.43,56.02
10,57.66,69.4,4.68
27,31.22,54.54,89.62
16,24.59,16.88,42.27
3,25.42,50.67,4.62
30,27.98,85.15,92.74
26,31.21,41.32,100.43
17,31.38,63.67,64.02
6,30.15,68.0,0.68
27,31.34,11.14,56.29
5,34.41,50.92,4.9
23,23.14,53.65,66.24
1,25.15,56.43,2.48
35,26.95,57.02,128.01
11,51.98,18.85,3.28
24,21.33,89.97,61.38
10,26.61,65.79,4.83
2,5.53,85.93,4.0
12,52.94,41.36,27.28
19,21.04,47.01,52.11
5,25.09,44.86,4.78
25,25.45,65.0,98.61
24,25.48,41.13,65.53
12,25.79,68.93,35.01
34,30.02,42.35,112.02
1,20.05,91.03,0.61
25,28.49,59.64,90.74
35,28.04,55.88,105.1
4,21.71,91.9,4.6
28,21.28,47.33,72.62
6,22.51,90.92,2.11
31,5.86,12.66,40.51
10,28.98,47.13,4.48
35,34.41,93.93,85.77
11,48.53,50.07,2.33
20,27.29,53.6,57.98
3,23.85,56.23,1.94
17,24.45,49.84,62.22
26,25.81,50.7,101.28
6,30.31,64.31,2.74
2,21.21,50.69,1.26
11,33.72,69.75,3.34
27,29.26,60.07,111.81
26,27.6,61.69,70.74
17,26.52,56.35,59.14
35,22.88,91.08,68.24
17,6.59,87.24,25.91
29,27.94,50.91,79.23
2,33.55,60.52,2.08
33,31.89,89.14,86.19
7,8.28,47.92,0.56
29,34.87,68.01,92.79
10,21.53,19.13,0.22
34,55.02,55.58,59.35
4,29.83,64.9,2.39
21,8.14,50.13,32.7
9,30.26,61.74,1.7
4,33.23,66.78,1.43
20,30.78,68.92,67.78
19,5.53,19.63,26.81
34,58.45560000000002,94.03,48.32
34,20.43,61.01,132.77120000000002
6,6.31,90.76,3.01
35,24.29,63.46,94.01
31,20.5,47.69,91.72
13,22.8,65.25,53.04
7,28.2,53.11,3.02
26,32.7,58.84,72.85
33,26.26,48.26,97.38
27,32.4,63.24,105.52
19,23.46,52.25,57.78
34,33.17,43.82,112.0
17,28.76,56.34,67.88
16,26.13,53.59,45.95
7,33.41,56.65,2.23
23,54.82,42.48,49.66
12,31.76,68.47,30.58
12,34.29,60.34,30.36
12,34.61,17.13,25.34
24,25.32,42.38,72.62
34,31.08,68.38,98.56
24,20.08,65.75,95.11
26,28.54,44.59,104.02
25,6.77,67.72,55.73
20,20.32,63.75,76.12
17,25.65,93.82,36.94
15,26.84,50.21,49.53
8,20.22,63.76,2.66
7,32.18,92.32,3.29
4,20.47,46.3,2.48
20,34.68,44.21,60.83
32,24.54,64.84,116.69
25,29.99,11.14,55.1
7,23.97,16.65,2.1
18,28.02,53.17,71.84
27,24.37,59.35,111.66
4,21.85,63.97,3.64
18,21.65,43.5,52.5
29,29.98,53.57,116.44
27,29.72,52.57,75.39
24,31.57,11.17,44.21
30,6.15,13.52,33.72
33,20.72,66.81,82.92
18,23.56,42.36,55.17
22,27.21,65.37,88.64
31,20.97,66.06,108.21
18,26.19,50.01,64.64
29,46.77,62.23,70.6
9,28.86,53.42,4.18
9,29.7,43.11,1.44
18,22.45,48.01,52.47
13,53.0,51.13,27.98
15,30.77,93.58,27.45
4,6.42,52.27,2.53
33,28.94,50.79,105.53
24,21.09,68.4,65.62
7,23.22,64.87,0.43
11,33.59,57.68,3.3
34,31.32,61.62,130.51
9,24.81,94.03,0.42
21,26.41,56.75,86.4
27,29.82,18.55,55.74
18,7.79,62.08,32.32
9,22.37,90.95,4.41
30,7.1,64.43,56.53
26,29.94,66.64,85.47
15,29.13,63.1,47.91
5,6.22,16.43,3.18
20,32.01,15.36,37.5
1,32.51,58.51,0.84
4,24.0,64.51,3.98
26,34.76,42.48,69.46
20,6.27,65.21,42.79
16,28.48,67.41,56.54
8,22.4,18.86,0.27
30,27.55,52.14,92.95
29,32.29,62.27,114.3
10,31.64,63.87,1.37
8,23.85,54.79,1.05
34,54.28,69.2,77.7
8,24.36,89.33,0.18
4,28.28,87.54,0.93
16,25.1,88.66,40.0
30,7.35,66.19,73.15
27,27.79,61.2,87.48
13,28.27,68.95,47.27
30,6.44,61.63,57.47
31,26.14,54.41,128.49
24,34.85,54.34,95.7
24,30.76,54.56,82.54
30,21.72,52.18,86.63
24,28.02,53.37,67.26
30,20.1,55.64,102.44
26,27.25,61.77,97.75
30,5.53,13.59,35.49
33,32.64,63.18,103.55
17,29.84,69.72,67.35
19,21.35,53.9,70.77
30,24.72,62.47,117.77
21,32.54,63.1,84.31
9,26.25,52.27,4.63
2,7.96,45.35,1.53
6,20.02,12.02,3.25
3,22.6,52.02,2.56
21,29.02,56.15,84.95
5,25.11,47.53,1.66
34,26.85,60.7,101.39
22,24.18,61.07,90.54
26,31.67,65.59,69.26
26,22.98,47.14,79.61
9,22.36,44.55,4.18
26,32.16,47.04,75.72
3,9.29,45.65,1.22
2,31.44,51.12,4.63
15,28.91,46.5,51.81
19,34.42,50.21,55.94
15,27.4,65.32,46.92
12,20.81,48.7,33.98
25,22.87,48.23,78.56
18,27.7,59.61,53.31
25,32.32,62.22,73.12
15,6.34,61.08,32.34
5,54.12,51.99,4.95
23,22.7,86.19,59.82
30,34.52,55.9,110.79
11,21.91,48.58,0.9
26,26.5,43.98,82.91
23,26.58,18.08,40.54
3,30.18,11.56,0.51
1,24.49,18.87,1.44
10,33.7,45.87,1.22
13,21.17,61.2,38.29
28,26.99,49.43,83.58
29,24.11,59.41,120.65
16,33.03,46.67,45.31
35,24.67,52.98,126.35
30,30.36,12.87,71.37
17,25.95,64.64,48.8
12,27.66,48.94,42.31
24,33.78,50.72,71.42
34,20.65,43.0,94.93
15,24.51,63.6,42.75
1,23.5,17.13,0.36
27,22.3,46.37,100.95
7,20.6,64.77,3.73
26,27.93,60.18,95.01
15,57.73,63.13,23.19
10,22.84,55.14,1.89
17,26.2,40.26,53.1
32,34.63,68.3,131.68
6,22.89,44.36,2.15
14,58.45560000000002,63.62,33.84
26,58.45560000000002,12.22,31.54
16,5.53,43.79,32.41
1,58.45560000000002,62.08,3.67
13,50.4,43.86,28.03
28,20.43,56.84,94.15
23,34.31,50.31,90.69
16,32.58,88.8,60.59
19,47.56,69.36,34.87
22,25.23,56.44,59.38
28,20.18,93.85,60.03
32,26.31,91.45,79.13
5,29.4,17.12,3.33
4,34.01,43.06,1.15
29,32.28,66.03,72.68
20,32.98,51.45,54.14
17,23.92,14.5,43.97
35,45.22,41.54,53.4
33,23.62,66.79,102.53
4,20.58,89.32,3.73
24,33.35,41.56,90.2
19,30.08,18.36,41.61
29,5.53,55.81,63.44
4,23.55,12.07,1.0
3,30.69,49.33,0.67
20,20.47,17.73,57.3
4,23.97,50.55,4.21
5,23.59,66.92,3.93
34,25.96,14.37,81.22
17,23.96,61.11,63.88
29,34.34,62.06,115.18
17,27.92,46.49,61.84
21,54.76,61.19,51.08
12,47.36,48.94,29.49
34,6.12,68.82,79.84
35,22.28,54.77,130.54
31,27.63,54.11,115.71
9,32.74,49.43,4.7
23,32.36,43.14,79.98
11,26.66,43.24,1.19
20,24.63,63.85,64.27
30,29.55,44.44,108.1
13,7.09,91.95,15.17
1,21.79,68.13,2.4
24,31.25,62.9,96.57
26,24.95,44.15,74.54
24,28.5,16.01,50.13
6,27.34,92.24,4.06
33,24.9,61.69,113.25
14,28.17,47.25,38.15
28,31.11,65.47,94.68
8,25.09,63.28,4.22
19,32.65,17.85,39.25
22,31.66,62.9,68.7
4,24.7,51.98,0.73
13,24.41,64.9,35.67
6,29.67,85.06,4.52
8,34.27,63.56,3.5
33,27.49,62.53,112.39
34,30.53,63.73,117.08
28,31.85,44.49,114.33
32,23.04,50.78,125.81
6,26.26,11.51,0.18
3,34.47,58.56,3.14
34,51.33,64.44,54.51
21,29.31,86.59,66.87
17,32.49,41.89,65.25
27,48.02,55.2,62.68
29,29.61,58.24,95.07
7,28.64,65.28,3.66
15,24.37,47.66,53.94
35,8.65,57.53,87.92
4,30.65,57.73,2.96
32,27.6,89.69,131.2
8,8.88,59.62,2.09
23,21.61,56.41,60.9
29,26.09,50.03,72.93
19,23.49,56.2,47.51
5,51.51,69.86,2.18
1,20.84,52.87,3.69
20,31.68,50.75,76.83
33,26.74,90.39,96.63
24,31.62,64.58,97.91
4,48.75,45.65,3.23
14,29.32,15.04,28.62
25,28.84,69.9,63.45
24,21.82,48.13,77.78
29,20.4,67.01,76.36
1,8.31,89.03,3.48
35,24.38,52.86,120.8
11,32.21,50.27,0.22
6,9.42,63.79,4.05
2,33.78,64.26,2.62
21,5.53,47.77,35.06
8,23.29,66.4,2.99
27,23.02,47.26,74.3
33,32.74,15.21,62.31
8,27.99,41.96,3.57
28,30.76,63.33,72.16
2,20.26,61.4,4.55
4,32.04,58.14,0.62
15,25.75,69.71,56.29
4,24.1,52.11,4.54
20,20.95,41.98,68.35
31,27.58,17.36,80.24
19,32.16,63.99,79.18
14,32.66,16.48,37.15
31,28.97,67.46,96.69
32,31.16,64.01,131.88
30,27.97,61.83,103.78
23,28.56,61.11,87.15
28,24.3,65.3,86.32
31,23.21,40.32,95.37
4,25.29,55.26,1.2
10,30.82,57.45,2.72
8,21.14,53.66,1.58
34,25.73,64.75,87.69
32,8.74,13.87,48.74
12,26.92,65.64,30.28
33,23.12,58.07,86.83
27,6.88,52.5,49.21
34,23.98,92.65,93.88
26,29.85,63.3,73.55
25,6.14,69.78,61.73
25,27.03,54.96,101.44
7,26.77,53.48,4.05
30,34.92,58.61,92.5
15,32.86,68.66,57.64
6,26.41,61.85,2.14
24,26.29,69.16,67.65
14,23.34,66.83,52.88
14,29.43,56.84,48.73
27,21.54,60.12,108.43
17,46.82,57.06,37.44
19,27.34,41.99,55.38
17,47.78,51.1,41.99
14,22.42,48.64,36.61
30,8.9,53.4,49.84
17,22.22,87.84,42.59
12,29.66,42.43,49.72
32,20.53,64.44,106.18
28,32.04,42.62,84.3
31,21.27,49.85,103.92
14,6.07,45.7,33.61
4,21.14,94.03,0.31
33,8.82,91.34,45.42
14,7.12,87.66,24.25
18,28.73,52.95,60.75
20,32.23,43.27,80.58
21,23.1,92.94,57.2
27,30.74,51.32,92.16
19,30.74,51.88,69.31
34,32.11,19.48,94.95
10,47.69,61.71,3.88
24,23.7,68.93,96.57
16,8.91,48.3,24.14
11,21.65,65.71,2.77
12,32.84,93.35,21.53
23,31.76,42.83,59.0
31,33.33,63.18,99.72
31,32.71,68.62,127.31
8,5.96,55.26,1.12
18,27.18,60.07,50.77
27,23.52,53.13,80.16
35,33.83,18.49,98.34
26,26.51,47.51,69.14
21,28.26,41.48,60.9
25,56.71,45.65,39.78
15,31.36,68.89,62.63
2,23.16,92.38,1.19
4,30.2,58.04,2.18
34,7.17,85.78,54.27
27,26.46,13.44,69.96
13,32.27,62.53,52.31
32,34.4,65.09,83.76
13,34.12,62.91,40.04
5,28.46,56.94,2.9
18,45.37,62.53,33.93
1,26.98,56.69,4.76
5,28.1,63.72,1.2
5,26.52,44.2,3.68
21,32.75,53.72,52.64
31,28.71,46.73,91.97
31,22.02,58.9,79.84
35,25.54,42.2,116.24
28,30.64,52.65,95.64
28,21.5,59.6,91.67
17,31.5,57.67,68.39
1,22.55,53.53,4.62
21,49.0,64.66,49.18
22,34.17,68.02,73.62
2,31.24,17.83,3.02
14,28.59,52.52,46.99
5,29.79,46.4,2.41
20,21.84,88.95,82.85
29,7.68,68.32,68.55
32,49.23,47.46,78.38
16,24.06,59.83,44.84
11,21.3,56.31,2.77
13,34.83,55.18,41.44
29,32.43,44.89,94.36
15,28.75,47.79,48.98
17,52.06,67.43,39.86
6,7.01,69.5,3.52
31,32.88,58.12,112.3
1,31.14,51.88,4.12
19,33.23,46.72,54.42
21,35.0,43.18,81.88
11,20.71,41.44,4.82
14,31.07,50.06,58.04
26,6.25,56.53,59.84
1,34.58,66.53,4.46
24,8.83,45.88,37.23
29,32.06,65.81,114.21
7,28.24,44.63,2.83
1,34.28,13.89,1.46
27,31.41,43.35,92.12
13,21.05,54.1,48.49
17,24.8,43.62,53.46
24,28.61,50.48,81.83
34,21.13,92.82,85.51
2,32.4,86.29,0.45
28,31.3,57.01,84.23
19,30.73,55.64,69.65
11,26.36,53.73,3.6
11,31.71,59.32,2.3
3,23.63,55.39,4.65
9,53.88,57.39,2.29
12,53.29,13.48,14.92
3,26.48,40.66,0.61
9,27.01,48.71,4.86
3,24.58,62.5,2.72
12,26.96,46.37,48.15
34,26.75,90.15,86.54
2,27.59,66.01,4.44
25,27.77,47.65,102.95
7,32.01,85.32,0.23
31,20.13,64.83,116.59
32,20.9,52.99,120.48
11,21.32,58.81,2.72
28,8.55,43.58,55.41
7,31.9,56.57,1.29
34,9.23,47.06,55.99
1,8.55,49.88,2.28
23,33.02,43.18,82.21
17,21.15,59.65,66.08
14,22.81,68.34,49.8
6,21.26,68.42,3.74
5,20.31,14.32,2.94
30,51.7,40.32,71.46
5,53.55,55.29,3.79
16,31.76,59.89,64.75
25,7.38,51.27,55.73
14,29.93,50.71,48.11
30,21.94,90.21,61.13
26,21.34,50.53,97.76
12,26.75,45.49,33.49
23,55.45,45.11,49.8
28,24.36,40.33,110.46
21,32.97,91.74,57.75
11,47.11,12.12,3.42
4,24.61,41.22,0.18
20,30.2,67.16,59.86
20,23.96,41.39,60.73
16,32.29,87.14,49.7
3,24.79,14.97,4.03
5,58.45560000000002,11.27,4.08
32,32.45,57.17,91.79
35,32.08,61.48,132.77120000000002
26,24.76,91.55,50.61
35,49.49,55.37,83.03
20,8.75,47.09,44.05
34,31.11,60.52,121.59
8,34.33,63.0,2.01
1,23.42,49.54,3.09
22,20.42,48.06,79.88
18,6.65,54.59,41.31
10,30.65,44.16,2.24
10,21.27,51.52,2.04
20,32.66,15.81,35.44
12,34.12,50.63,33.25
23,27.23,60.77,61.4
32,32.78,49.51,116.34
28,6.4,47.83,45.07
28,24.68,51.16,107.56
20,29.04,41.93,59.37
12,28.94,61.24,36.37
15,33.45,59.32,48.25
20,58.45560000000002,89.33,48.09
17,53.18,90.78,18.18
1,31.1,64.18,3.98
2,53.42,51.04,0.41
2,22.57,49.54,1.21
2,21.52,48.72,3.54
20,21.98,50.0,54.71
18,26.36,18.58,47.3
31,25.73,52.38,108.66
17,31.46,46.12,47.0
1,28.46,62.41,3.2
11,21.37,52.26,3.44
4,5.53,41.96,2.51
26,21.96,59.26,104.06
13,22.21,44.49,54.44
30,29.81,14.91,78.22
16,5.98,14.46,26.67
27,33.46,94.03,77.12
5,30.18,45.77,0.38
18,20.45,68.72,54.13
29,23.7,46.89,104.03
1,49.63,48.89,2.32
4,22.89,65.71,1.63
32,21.75,58.53,105.52
34,30.76,69.27,124.38
31,27.95,44.64,81.54
33,34.21,41.14,84.59
12,24.22,87.7,31.91
25,27.31,13.21,71.36
28,21.85,40.93,83.01
19,34.45,93.95,36.58
3,5.74,89.05,1.32
9,34.92,58.56,4.85
5,30.52,59.29,3.4
19,46.55,48.67,38.0
4,27.26,93.97,0.36
28,32.15,55.25,103.24
18,47.43,17.0,28.71
19,22.27,56.38,52.33
25,20.61,90.34,53.69
15,27.37,51.44,51.27
17,9.83,89.98,36.98
23,21.72,46.55,82.79
13,20.82,61.67,32.7
15,26.49,48.49,42.5
29,28.74,45.98,104.85
10,28.54,64.16,1.64
4,9.28,89.8,4.59
18,52.51,46.37,39.6
32,34.8,45.09,105.14
15,27.5,94.03,43.08
34,30.36,60.61,111.9
1,21.08,52.1,3.15
21,30.99,60.67,77.86
28,32.51,68.21,97.94
34,26.3,51.83,89.16
18,54.1,52.74,36.42
2,31.22,11.14,2.38
25,56.37,67.21,55.07
18,6.97,57.93,38.5
32,47.87,58.45,80.24
9,27.02,17.96,3.92
33,30.34,59.22,124.26
17,32.51,61.52,50.59
12,29.81,44.05,32.5
5,25.9,48.53,2.79
34,21.93,57.88,112.67
31,50.49,56.59,71.65
34,8.19,66.97,61.39
14,33.16,54.67,46.45
26,30.02,62.88,75.54
17,21.4,55.54,45.9
13,30.13,54.66,33.99
31,32.57,54.74,100.87
18,22.11,44.49,72.98
9,31.72,86.95,2.93
8,23.32,44.62,2.17
35,53.44,17.41,40.03
11,24.08,93.68,3.17
4,30.65,88.22,4.71
31,7.84,61.23,56.91
17,25.13,63.71,46.03
26,31.43,51.91,84.12
32,22.17,52.61,85.61
20,26.43,58.09,79.49
29,24.69,15.31,56.64
24,21.17,68.76,88.01
17,5.53,47.08,30.2
6,6.23,92.26,4.23
22,21.9,69.53,81.4
26,31.21,55.84,65.49
16,21.65,59.13,64.11
21,33.98,55.0,86.19
7,23.11,93.77,1.18
21,22.89,45.67,76.88
12,23.05,43.1,33.79
11,31.83,41.46,1.6
21,23.72,91.79,44.82
11,5.53,53.0,4.46
18,34.87,60.07,46.92
21,26.1,67.62,58.14
23,28.05,65.35,67.61
17,29.26,66.99,43.95
29,27.6,65.44,105.68
21,25.57,65.31,53.69
32,29.42,58.62,99.8
10,34.51,59.08,1.04
19,21.84,57.12,55.83
25,48.6,93.59,38.04
23,29.53,85.45,64.94
23,22.16,49.38,92.36
20,31.83,40.53,83.52
11,29.97,59.35,1.96
8,54.62,48.07,3.9
1,58.45560000000002,52.58,4.53
17,26.51,90.13,43.77
22,29.48,85.71,81.51
17,34.26,93.53,30.21
32,9.89,66.49,59.8
32,25.08,60.48,129.35
24,32.46,91.72,54.72
8,26.63,49.57,3.78
9,21.2,60.53,0.56
32,29.93,92.47,81.2
8,20.81,44.95,0.84
11,31.46,42.26,2.25
6,33.63,41.38,4.58
8,34.3,14.63,1.22
15,26.41,16.02,34.7
25,8.64,40.48,42.44
1,27.94,14.11,3.02
32,29.03,61.68,116.84
27,24.99,63.47,99.96
8,25.56,57.76,0.59
3,33.29,68.99,2.88
26,33.0,85.09,76.59
4,49.33,56.86,4.48
13,31.49,61.02,40.45
14,27.18,64.28,45.34
21,30.55,48.13,88.14
2,20.98,65.6,4.4
14,22.33,68.49,57.42
29,22.99,65.2,95.33
27,25.39,44.09,111.93
29,21.93,60.62,77.88
2,30.94,54.12,3.63
13,33.95,41.72,46.0
21,34.57,58.37,78.74
14,22.87,56.98,51.87
14,32.94,40.3,56.81
14,34.95,16.83,34.75
8,23.21,41.91,3.82
32,32.13,62.85,84.47
29,8.92,66.56,61.48
16,32.43,56.73,60.43
6,28.17,68.96,4.35
9,33.43,40.57,1.64
35,20.93,68.96,102.34
16,20.41,57.67,55.81
3,31.67,14.88,3.71
4,29.92,51.16,1.87
18,30.62,67.69,75.59
3,56.15,57.91,2.93
20,49.82,52.86,36.39
5,25.63,57.68,2.82
3,23.11,67.16,1.97
13,24.93,53.45,47.81
3,57.91,62.13,0.68
33,31.89,55.38,132.77120000000002
1,55.95,16.35,3.34
2,24.13,44.3,2.57
29,34.81,58.92,112.43
22,34.88,43.31,82.93
19,24.58,64.97,57.3
21,58.45560000000002,49.2,39.89
23,32.15,12.29,50.3
12,33.1,43.69,48.6
20,22.36,51.34,64.75
13,25.32,57.96,51.17
24,34.17,41.29,78.94
6,33.2,68.61,1.89
21,22.84,42.05,67.01
18,26.05,66.9,49.87
21,31.43,94.03,55.64
34,30.51,61.39,108.86
27,54.23,60.48,55.05
22,20.44,16.62,42.53
11,8.14,61.38,4.86
30,26.02,58.5,95.98
26,27.09,45.6,95.79
35,34.3,58.17,95.57
22,29.85,49.87,58.37
12,26.61,62.87,46.15
34,32.13,57.49,100.51
9,9.47,17.57,3.81
20,56.6,64.73,42.61
32,8.33,65.6,51.09
27,32.52,44.89,106.53
25,23.69,47.2,67.47
33,31.13,55.63,111.2
5,34.78,49.92,0.22
1,34.14,42.43,5.0
21,24.89,43.57,64.12
13,8.72,52.12,24.09
34,20.49,62.22,105.42
28,20.05,68.71,111.41
15,26.56,47.6,52.6
20,29.66,60.87,50.47
7,23.82,18.1,1.75
20,26.79,42.94,58.22
33,29.14,69.61,127.21
8,8.3,48.63,4.2
9,29.16,40.98,3.42
19,31.5,59.3,54.17
22,22.51,18.22,60.69
13,23.08,59.18,44.89
27,21.9,17.06,66.25
28,8.95,48.35,43.48
22,27.05,65.11,90.44
27,28.1,19.8,49.59
26,26.73,44.94,88.08
17,23.04,57.43,67.84
13,32.53,63.44,48.66
1,8.4,90.36,0.18
35,25.92,52.24,96.25
24,34.45,55.82,71.72
34,57.12,50.96,63.12
35,20.32,45.69,106.68
18,32.24,91.21,44.31
11,20.49,46.52,0.43
17,31.18,50.21,45.62
27,29.8,40.38,96.14
25,26.36,63.29,85.12
25,23.54,57.16,100.36
26,25.7,41.42,102.16
17,30.08,57.82,48.71
16,21.94,62.47,64.25
21,31.11,68.91,65.95
22,31.4,44.0,61.18
25,20.66,92.63,56.14
32,31.25,69.5,126.24
19,23.26,61.25,55.46
6,29.34,40.62,2.9
17,33.53,59.1,56.15
30,21.69,13.24,62.82
20,34.94,53.21,62.94
30,56.0,87.4,70.35
23,34.81,61.88,73.0
30,32.65,14.74,70.23
17,22.78,85.18,67.5
12,28.4,67.81,31.75
30,20.82,16.88,69.48
2,30.86,64.95,1.43
12,31.74,68.87,36.76
28,20.13,52.42,85.53
22,24.19,44.32,72.14
9,31.66,67.61,2.51
12,27.47,61.86,38.6
17,28.72,66.99,58.95
29,33.93,44.35,73.15
24,23.82,52.73,83.4
30,33.05,62.31,125.35
4,30.63,49.99,1.3
26,54.06,67.35,39.63
34,24.64,68.7,115.15
33,30.85,87.34,97.33
8,21.77,59.22,3.23
10,20.61,69.55,0.3
9,34.67,69.64,2.72
11,34.85,42.14,3.68
26,33.02,64.01,98.29
19,22.86,66.44,78.39
34,58.45560000000002,44.2,57.25
19,20.78,53.65,72.29
21,9.93,68.06,38.51
25,33.28,51.31,77.06
7,20.61,50.86,3.78
8,51.48,61.36,2.82
28,34.26,54.72,97.61
12,31.6,47.52,33.98
21,34.93,49.42,80.5
8,54.52,55.91,3.57
1,28.21,50.31,2.99
25,31.87,48.24,69.26
14,24.47,47.44,41.53
16,25.0,17.52,34.35
13,34.85,69.75,33.63
24,21.29,89.87,99.46
16,52.33,91.59,27.61
8,30.54,55.44,2.98
35,23.75,40.67,124.13
26,31.64,61.56,90.26
19,50.92,52.42,41.19
22,34.43,11.14,41.76
3,25.38,94.03,3.57
19,50.05,47.86,41.62
16,34.01,55.35,40.54
24,5.53,67.3,51.44
23,5.86,43.46,57.32
25,49.46,52.14,51.72
5,26.19,42.22,0.64
27,29.6,55.34,96.08
28,30.25,55.55,78.96
21,23.0,53.79,81.76
19,27.19,69.52,72.88
4,56.22,67.89,1.25
12,30.17,12.91,27.75
34,22.51,93.34,65.86
14,20.05,64.97,37.85
2,21.35,43.57,2.57
12,31.75,49.22,37.2
20,24.41,54.14,76.94
22,45.88,50.82,46.96
1,5.56,50.01,2.75
35,28.99,86.99,119.14
13,28.99,51.31,35.75
20,8.05,19.06,31.05
4,22.31,40.89,3.6
2,28.33,17.99,2.62
4,23.51,64.42,4.31
32,34.02,62.63,86.55
28,27.45,15.47,52.04
33,20.34,47.48,108.73
23,8.87,64.1,47.44
28,32.44,94.03,76.55
35,25.85,44.99,122.87
5,26.59,50.65,1.36
28,34.4,47.35,94.05
23,32.19,65.33,72.47
34,20.59,51.0,132.77120000000002
33,27.4,49.3,100.86
9,22.53,66.2,3.98
27,54.63,54.02,61.36
3,32.57,46.72,4.59
24,31.37,44.55,86.92
12,28.03,40.24,35.99
22,27.05,65.98,81.37
16,27.72,65.61,66.62
21,27.0,44.11,58.09
23,33.64,58.88,72.6
35,23.99,93.04,90.08
11,57.2,46.94,1.85
33,27.39,58.56,92.18
30,23.98,49.16,118.83
33,29.98,64.7,123.71
28,25.73,52.41,96.29
18,29.82,52.94,52.9
5,57.69,46.77,2.84
5,51.29,66.73,1.2
7,24.21,53.36,1.42
23,23.52,55.78,85.54
16,30.97,50.76,48.66
7,26.39,43.09,0.25
30,22.96,47.44,107.74
5,32.2,18.23,2.01
28,34.73,47.41,116.83
30,24.39,58.58,77.23
23,21.89,45.43,80.23
18,32.9,45.17,67.06
18,28.78,61.11,54.05
11,23.92,63.92,0.4
16,22.47,53.32,60.87
30,28.22,66.12,110.45
16,7.43,58.41,34.38
35,7.46,63.33,86.23
14,30.6,47.97,46.48
30,45.65,65.16,75.28
8,51.05,44.19,1.63
32,47.9,53.98,61.08
23,24.85,13.75,64.56
19,5.91,58.63,40.31
32,20.86,56.72,98.52
19,29.51,55.71,65.84
17,46.51,41.54,26.09
13,24.24,87.0,48.27
17,33.33,93.99,34.44
16,34.44,40.24,55.96
13,23.15,59.46,48.97
8,32.93,69.76,3.08
8,26.32,47.51,0.6
3,26.64,41.8,3.92
32,25.75,41.42,131.95
32,29.09,43.82,98.0
32,20.8,47.6,87.68
14,22.41,12.3,40.2
35,33.36,51.78,89.51
26,26.63,46.61,79.01
15,22.31,12.4,32.64
2,31.48,50.85,1.29
29,31.89,61.53,108.25
2,9.84,65.54,3.87
1,34.89,61.51,3.21
16,21.86,92.18,34.91
35,27.05,42.3,114.9
6,31.19,50.91,4.65
25,29.73,85.11,74.38
10,27.53,16.97,4.3
26,26.34,62.7,79.21
16,30.4,42.23,40.09
11,32.3,53.23,1.0
19,25.07,67.28,65.16
21,23.23,66.55,61.12
7,6.86,16.25,4.15
1,32.52,56.3,3.18
1,53.93,17.48,3.15
13,22.71,64.41,40.7
15,21.1,56.97,40.65
6,7.86,41.1,2.88
23,23.52,47.87,95.25
23,28.51,45.38,92.58
23,20.58,86.79,84.52
10,27.75,64.83,2.58
31,24.03,49.09,105.71
30,31.81,59.03,83.11
35,34.81,68.63,101.96
2,56.32,50.78,3.68
10,46.54,49.59,4.91
23,34.23,16.98,65.64
23,26.86,53.17,76.97
14,25.23,89.54,46.73
11,50.78,55.85,1.57
7,28.1,64.33,1.09
6,29.74,55.79,2.77
5,22.81,94.03,3.05
